EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,PerformanceRating,Attrition
EMP001,25,Male,Sales,Sales Executive,45000,2,1,3,2,3,Yes
EMP002,34,Female,IT,Software Engineer,85000,6,2,4,4,4,No
EMP003,29,Male,HR,HR Executive,50000,3,1,3,3,3,Yes
EMP004,41,Female,Finance,Financial Analyst,95000,10,4,5,4,5,No
EMP005,38,Male,IT,Data Engineer,90000,8,2,4,4,4,No
EMP006,27,Female,Sales,Sales Executive,47000,2,1,2,2,3,Yes
EMP007,45,Male,Operations,Operations Manager,120000,15,5,5,5,5,No
EMP008,31,Female,IT,System Administrator,70000,5,2,4,3,4,No
EMP009,24,Male,HR,Recruiter,42000,1,0,2,2,3,Yes
EMP010,36,Female,Finance,Accountant,78000,7,3,4,4,4,No
EMP011,28,Male,Sales,Sales Executive,52000,3,1,3,2,3,Yes
EMP012,39,Female,IT,Cloud Engineer,98000,9,3,5,5,5,No
EMP013,30,Male,Operations,Team Lead,85000,6,2,4,3,4,No
EMP014,26,Female,HR,HR Executive,48000,2,1,2,2,3,Yes
EMP015,43,Male,Finance,Finance Manager,110000,12,4,5,5,5,No
EMP016,32,Female,IT,Software Engineer,82000,5,2,4,4,4,No
EMP017,27,Male,Sales,Sales Associate,46000,2,1,2,2,3,Yes
EMP018,40,Female,Operations,Operations Analyst,88000,8,3,4,4,4,No
EMP019,35,Male,Finance,Accountant,76000,6,2,4,3,4,No
EMP020,23,Female,HR,Recruiter,40000,1,0,2,2,3,Yes
EMP021,37,Male,IT,DevOps Engineer,93000,8,3,5,4,5,No
EMP022,29,Female,Sales,Sales Executive,50000,3,1,3,2,3,Yes
EMP023,42,Male,Operations,Manager,115000,14,5,5,5,5,No
EMP024,33,Female,Finance,Analyst,79000,6,2,4,4,4,No
EMP025,26,Male,HR,HR Executive,47000,2,1,2,2,3,Yes
EMP026,44,Female,IT,Architect,130000,16,6,5,5,5,No
EMP027,28,Male,Sales,Sales Associate,49000,3,1,3,2,3,Yes
EMP028,38,Female,Operations,Operations Manager,118000,12,4,5,5,5,No
EMP029,31,Male,Finance,Accountant,80000,7,3,4,4,4,No
EMP030,24,Female,HR,Recruiter,41000,1,0,2,2,3,Yes
